Navn på KI-løsning;region;leverandør;prosjektfase;type bruk;overordnet funksjon;MU (CE-merket);KI-komponent;type KI;helseforetak;klinikk/avdeling;formål med tiltak;forventet gevinst;oppnådd gevinst;utfordringer/hemmere;kontaktperson;funksjon_forenklet;funksjon_detalj;hovedkategori;gevinst_tema;gevinst_status;barriere_tema
Lunit INSIGHT CXR;HSØ;Lunit;"i anskaffelse/implementering ; i pilot/utprøving";klinisk;Beslutningsstøtte bildediagnostikk rtg thorax;ja;"knyttet til MU ; frittstående";ML;"SØHF ; VVHF";"Bildediagnostikk ; Avdeling for bildediagnostikk";"Raskere presvar på thorax screening, (NAS Råde) ; -Frigjøre helsepersonell
- Redusere ventetid
- Triagering";"Økt kvalitet ; -Frigjøre helsepersonell
- Redusere ventetid
- Triagering";;"NA ; Finne rett usecase til ønsket gevinst - mange patologier som evt må valideres";"Dag Ottar Sætre ; Line Tveiten, linetv@vestreviken.no";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Pasientfordel ; Tidsbesparelse / effektivitet";;Kvalitet og validering
Mabel Translate;HSØ;Mabel AI;i pilot/utprøving;administrasjon - pasientbehandling;Digital oversettelse;nei;frittstående;LLM;Sunnaas Sykehus HF;Avdeling for multitraume, nevrologi og brannskade;Sikker digital oversettelse i pasientkontakt 24/7;Oversettelse med bruk av sikker løsning som ivaretar personvern og som sikrer rett oversettelse innen medisinsk terminologi.;0;;Geir Ove Karlsson, geirok@sunnas.no;administrativ støtte;;Pasientbehandling;Pasientfordel;Ikke realisert enda;
Mage-Tarm-skole chatbot;HV;Helse Vest IKT;i drift/produksjon;administrasjon - pasientbehandling;Svar på Mage tarm relaterte spørsmål;nei;frittstående;LLM;HBE;Mage Tarm skole;Finne svar på pasientspørsmål for ernæringsfysiologer i stor mengde av rettningslinjer og forskningsartikkler.;tid- og ressurssparende;tid- og ressurssparende;;Pål Frønsdal (pal.fronsdal@helse-bergen.no);pasientinformasjon;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
Medbric;HV;Medbric;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;ja;frittstående;LLM;"HBE; HFD; HST; HFO";Nesten alle fagområder;NA;"Mindre kognitiv belastning for lege; Tidsinnsparing i dokumentasjonsarbeid";;;Grøtteland, Cecilie Sneberg (cecilie.sneberg.grotteland@sus.no);pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kognitiv avlastning ; Tidsbesparelse / effektivitet";;
Noteless;HSØ;NoteLess;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;ja;frittstående;LLM;"STHF ; SØHF";"Barn og ungdom;  DPS, Smertepol, Ortopedi ; DPS, Smertepol, Ortopedi";"mer tid til pasient ; Effektivisering av journalskriving";"mer tid til pasient ; Økt effektivitet og kvalitet";"NA ; ja";"NA ; Ingen";"Ansgar Berg ; Jarl Schjerverud";pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kvalitetsforbedring ; Pasientfordel ; Tidsbesparelse / effektivitet";Realisert;
OIP-1 Endo-Aid;HN;Olympus;i drift/produksjon;klinisk;Automatisk polyppdeteksjon ved endoskopi;ja;knyttet til MU;ML;UNN;Medisinsk klinikk;Kvalitetssikring ved endoskopi;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
OIP-1 Endo-Aid;HSØ;Olympus;i drift/produksjon;klinisk;Beslutningsstøtte endoskopi/koloskpi;ja;knyttet til MU;ML;SØHF;Medisin, Gastro;Gi beslutningstøtte ved undersøkelser med endoskopi;Økt kvalitet;;;Yusuf Mohammed;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Kvalitetsforbedring;;
Omilon;HV;Omilon;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;nei;frittstående;LLM;"HBE; HFD; HST; HFO";Nesten alle fagområder;NA;"Mindre kognitiv belastning for lege; Tidsinnsparing i dokumentasjonsarbeid";;;Grøtteland, Cecilie Sneberg (cecilie.sneberg.grotteland@sus.no);pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kognitiv avlastning ; Tidsbesparelse / effektivitet";;
Operasjonsplanlegging;HSØ;ikke bestemt;i anskaffelse/implementering;drift av helse- og omsorgstjenester;operasjonsplanlegging;nei;frittstående;ML;VVHF;;"- Bedre ressursutnyttelse
-Forutse operasjonstid";"- Øke kapasitet
- Redusere strykninger/ventetid";Ikke enda - må utvikle bruken;"- Datakvalitet i gamle data
- Endring av arbeidsflyt
- Tillit til prediksjoner";;operasjonsplanlegging og kapasitetsstyring;;Drift;"Kapasitet og bemanning ; Pasientfordel ; Tidsbesparelse / effektivitet";Delvis realisert;"Endring og samarbeid ; Kvalitet og validering"
Ordrett Transkripsjon;HV;Helse Vest IKT;i drift/produksjon;administrasjon - pasientbehandling;Ordrett Transkripsjon av lydfiler;nei;frittstående;LLM;"HBE; HFD; HST; HFO";Alle;«Ordrett transkripsjon» er en tjeneste tar imot lydopptak av samtaler og transkribere disse ordrett. Som bruker logger man seg inn i løsningen med sin vanlig Helse Vest brukerkonto, laster opp lydopptak og så vente. Når transkripsjon er ferdig, får bruker en epost om det og kan laste ned sin transkripsjon. Helle databehandling skjer innenfor Helse Vest. https://taler.ihelse.net/;tid- og ressurssparende;tid- og ressurssparende;;Christian Autenried (Christian.autenried@helse-vest-ikt.no);pasientdokumentasjon;talegjenkjenning og transkripsjon;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
PRETAI-Lymfeknuter;HM;Contextflow;i pilot/utprøving;klinisk;KI-deteksjon av lymfeknuter i mediastinum;i prosess;;ML;HMR;;"PRETAI-Lymfeknuter (opprinnelig navn); Bygger AI-verktøy for deteksjon av mediastinale lymfeknuter i samarbeid med Contextflow, Østerrike";;;;kjetil.roth@helse-mr.no;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Plaud Note;HSØ;Plaud AI;i pilot/utprøving;administrasjon - helsepersonell;KI møtereferater;nei;frittstående;LLM;SØHF;Administrasjon;Effektivisere skriving av møtenotater;Økt effektivitet og kvalitet;ja;Ingen;Bendik Zenker Aune;administrativ støtte;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;
Prediksjon av oppdrag for portørtjenesten;HV;Helse Bergen;i drift/produksjon;administrasjon - helsepersonell;Prediksjon av oppdrag for portørtjenesten;nei;frittstående;ML;HBE;Sykehusdrift;KI brukes for å predikere antall oppdrag for portørtjenesten per vakt. Det kjører en rapport som de ansatte kan se på.;tid- og ressurssparende;tid- og ressurssparende;;Erlend Hodneland (erlend.hodneland@helse-bergen.no);bemanningsplanlegging;;Drift;Tidsbesparelse / effektivitet;Realisert;
Prediksjon av pasientstrøm og bemanningsplanlegging;HSØ;Intern/DNV Imatis;i pilot/utprøving;administrasjon - helsepersonell;Beslutningstøtte, sykehusdrift;nei;frittstående;ML;SØHF;Alle klinikker;Prediksjon og simulasjon av pasientflyt og bemanning i hele sykehuset;Økt effektivitet og kvalitet;Nei;Regulatorisk, tilgang og bruk av pasientdata;Jarl Schjerverud;bemanningsplanlegging;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Ikke realisert enda;Regulatorisk og data
Qumea;HSØ;Qumea;i pilot/utprøving;klinisk;Pasientmonitorering, fallforebygging;ja;knyttet til MU;ML;SØHF;Medisin, Kirurgi;Forhindre fall, liggesår og uønskede hendelser ved sengetun;Reduksjon av fallskader og liggesår;Nei;Ingen;Jarl Schjerverud;pasientmonitorering;;Pasientbehandling;Pasientfordel;Ikke realisert enda;
RayStation;HM;RaySearch Laboratories AB;i drift/produksjon;klinisk;KI-konturering i stråleterapi;ja;;ML;"HMR ; HMR; St Olavs";"Laboratoriemedisinsk klinikk; Stråleterapienheten";"Raskere kontinuering i stråleterapi, Automatisk inntegning av risikoorgan ifm planlegging av stråleterapi, Prostatakreft, Thorax, Proximal bronchial tree samt modeller utviklet av andre for bekken, abdomen, thorax og hode/hals ; Raskere kontinuering i stråleterapi, Automatisk inntegning av risikoorgan ifm planlegging av stråleterapi, brystkreft HMR og St Olavs, HMR i tillegg: Prostatakreft, Thorax, Proximal bronchial tree (CT) - blir klinisk tilgjengelig i 2026, Hippocampus (MR) planlagt 2027";Spare tid;"Spart tid, økt kvalitet ; NA";;christoffer.lervag@helse-mr.no, Sigrun Saur Almberg, Anne Dybdahl Wanderås;stråleterapi og behandlingsplanlegging;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
RayStation;HN;RaySearch Laboratories AB;i drift/produksjon;klinisk;KI-konturering i stråleterapi;ja;knyttet til MU;ML;UNN;Stråleterapi;Redusert tidsbruk for stråleterapeut, bidrar til mer ensartet og standardisert behanlding, økt kvalitet på behandling ved å i større grad unngå risiko organer under stråleterapi;;;;;stråleterapi og behandlingsplanlegging;;Pasientbehandling;;;
RayStation;HSØ;RaySearch Laboratories AB;i drift/produksjon;klinisk;KI-konturering i stråleterapi;ja;;ML;OUSHF;;Konturrering risikoorganer, Thorax, Abdomen, Mannlig bekken, ØNH, lymfeknuter validert og planlegges innført;;;;;stråleterapi og behandlingsplanlegging;;Pasientbehandling;;;
RespView;HSØ;Elotec;i pilot/utprøving;klinisk;Kontaktløs måling av respirasjon;nei;knyttet til MU;ML;SØHF;Observasjonspost;Forskningsprosjekt, MDR CE godkjenning;Reduksjon av uventete hendelser/pasient skader;Nei;Ingen;Jarl Schjerverud;pasientmonitorering;;Pasientbehandling;Pasientfordel;Ikke realisert enda;
RevealDx;HM;RevealDx;i pilot/utprøving;klinisk;beslutningsstøtte, lungekreft;ja;;ML;HMR;;"PRETAI-Perifer lesjon (opprinnelig navn); Estimere risiko for malignitet i perifere lungelesjoner";;;;kjetil.roth@helse-mr.no;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Robot Henriksen;HSØ;Intern;i pilot/utprøving;drift av helse- og omsorgstjenester;Administrasjon av ortopediske ventelister;nei;frittstående;ML;SØHF;Kirurgi, ortopedi;Bedret oversikt, riktig pasient til riktig time, effektivisering, oppgavedeling;Økt effektivitet og kvalitet;Nei;Ingen;Heidi Halvåg;operasjonsplanlegging og kapasitetsstyring;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Ikke realisert enda;
SMART-journal;HSØ;DIPS AS;i pilot/utprøving;administrasjon - pasientbehandling;"Bruk av KI i journalskriving ; Hente opp data fra journal og lage ulike notat";nei;knyttet til EPJ;LLM;"VVHF ; OUSHF";PHA;"-Redusere tidsbruk på dokumentasjon
-Frigjøre tid til pasient ; effektivisere bla mottak, optimalisere pasientdokumentasjonen";"- Redusere tidsbruk
- Øke kvalitet i journal ; tid spart for klinikere, skal testes i pilot";"- Redusert tidsbruk (Pilot) ; NA";"- Personvern/GDPR
- Nøyaktighet (hallusinering) ; byråkrati";"Margareta Grøholt Kiær <Margareta.Groholt.Kiaer@vestreviken.no> ; kaheng@ous-hf.no";pasientdokumentasjon;pasientjournal;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;"Kvalitet og validering ; Regulatorisk og data ; Strukturelle barrierer"
Saniguide;HSØ;SANIF AS;i pilot/utprøving;drift av helse- og omsorgstjenester;Monitorering av håndhygiene;nei;frittstående;ML;SØHF;Alle klinikker;Monitorering og rapportering etterlevelse av håndhygiene;Reduksjon av smitte og infeksjoner;Nei;Ingen;Jarl Schjerverud;støtte til kvalitet;;Drift;Pasientfordel;Ikke realisert enda;
Specbase KI;HV;Helse Bergen;i pilot/utprøving;drift av helse- og omsorgstjenester;forbedret kvalitetssikring av avanserte biokjemiske analyser;nei;frittstående;ML;HBE;Avdeling for medisinsk biokjemi og farmakologi drift;SpecBase KI er et prosjekt for å utvikle KI modeller for en automatisert og forbedret kvalitetssikring av avanserte biokjemiske analyser av pasientprøver vha. massespektrometri.;"Forbedret kvalitet; ressurssparende";;;Ralf Kellmann (ralf.kellmann@helse-bergen.no);støtte til kvalitet;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";;
SynPlan;HN;Synplan;i anskaffelse/implementering;administrasjon - helsepersonell;turnusplanlegging;nei;;ML;FIN;HR;Ressursbesparende og kostnadsbesparende. Redusert deltid. Mer stabil arbeidsstyrke som kommer pasientene til gode;;;;;bemanningsplanlegging;;Drift;;;
SynPlan;HSØ;Synplan;i pilot/utprøving;administrasjon - helsepersonell;turnusplanlegging;nei;frittstående;ML;VVHF;;"- Automatisere vaktplanlegging
-Rettferdig fordeling";"- Redusere administrativ tid
- Bedre ansatt-tilfredshet";- Redusert tidsbruk for ledere;"- Komplekst regelverk (AML)
- Individuelle preferanser
- Integrasjon mot HR-system";Denne bør ikke legges ut pt.;bemanningsplanlegging;;Drift;Tidsbesparelse / effektivitet;Realisert;Integrasjon og infrastruktur
Syngo via RT image suite;HN;Siemens;i drift/produksjon;klinisk;KI-konturering i stråleterapi;ja;knyttet til MU;ML;;;;;;;;stråleterapi og behandlingsplanlegging;;Pasientbehandling;;;
Syngo.via MR Prostate;HSØ;Siemens;i pilot/utprøving;klinisk;Diagnostikk;ja;;ML;SIHF;Røntgen;automatisk voluminntegning for målretta biopsi, strukturerte rapporter;;;;Else Marie Huuse-Røneid;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
TRUST (Technology Revising Ultrasound Solutions for Tomorrow);HM;GE HealthCare;i pilot/utprøving;klinisk;Beslutningssstøtte hjerte ultralyd;nei;frittstående, men knyttet til ultralydskannere fra GE;ML;"St Olavs; HNT";"Hjerte- og thoraxklinikken,
Medisinsk klinikk Levanger";"En del av TRUST prosjektet: ECHO – Clinical evaluation of aortic stenosis, Automatisk bildeanalyse av hjerteultralydbilder i sanntid for å optimalisere bildeopptak, redusere målevariasjonen og forbedre diagnostikk. Løsningen gir automatisk deteksjon av kreft, Gleason gradering og støtte til patologens diagnostiske vurdering. Den integreres i digital patologi løsningen og brukes som beslutningsstøtte.
""Løsningen gir automatisk deteksjon av kreft, Gleason gradering og støtte til patologens diagnostiske vurdering. Den integreres i digital patologi løsningen og brukes som beslutningsstøtte.
Forbedret standardisering av bildeopptak ved hjerteultralydundersøkelser. Forbedret diagnostisk presisjon. Ressursbesparende hjertemålinger.";;;;Håvard Dalen;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Tale til sammendrag;HSØ;ikke bestemt;i anskaffelse/implementering;administrasjon - pasientbehandling;"Journalføring ; tale til sammendrag";;"? ; frittstående";LLM;"SIHF ; VVHF";Alle;"NA ; -Redusere tidsbruk på dokumentasjon";"NA ; -Redusert tidsbruk
-Øke kvalitet i journal";;"NA ; -Hardware
-Personvern";"Gard Engebretsen ; Margareta Grøholt Kiær <Margareta.Groholt.Kiaer@vestreviken.no>";pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";;Regulatorisk og data
Transpara Breast AI;HM;Screenpoint Medical;i pilot/utprøving;klinisk;Beslutningsstøtte i mammografiscreening;ja;;ML;;;AIMS Norway: Kunstig intelligens i Mammografiprogrammet — teste tydeprosedyre som inkl. bruk av KI, reduksjon av arbeidsmengde for bl.a. radiologer, forskning;;;;solveig.roth.hoff@helse-mr.no;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Transpara Breast AI;HN;Screenpoint Medical;i pilot/utprøving;klinisk;Beslutningsstøtte i mammografiscreening;ja;frittstående;ML;"UNN; NLSH";;;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Transpara Breast AI;HV;Screenpoint Medical;i pilot/utprøving;klinisk;Beslutningsstøtte i mammografiscreening;ja;frittstående;ML;;;;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
UiO GTP;HSØ;UiO;i pilot/utprøving;administrasjon - helsepersonell;administrasjon, dokumentasjon, koding;nei;frittstående;LLM;VVHF;;"- Administrativ støtte
-Oversettelse/Oppsummering
-Kodehjelp";"- Redusere tidsbruk på admin
- Økt kvalitet i tekst";- Støtteverktøy- Redusert tidsbruk;"-Hallusinering/Feilinformasjon
- Sikkerhet (ikke legge inn pasientdata)
- Manglende opplæring";Mads Haugland Haugen <Mads.Haugland.Haugen@vestreviken.no>;administrativ støtte;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;"Kvalitet og validering ; Regulatorisk og data ; Strukturelle barrierer"
Vidd;HSØ;Vidd Medical AS;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;ja;frittstående;LLM;"Diakonhjemmet sykehus ; Sunnaas Sykehus HF";"Klinikk for psykisk helse og rus ; Avdeling for funksjonsvurdering og avdeling for kognitiv rehabilitering";"Pilotering av løsning ; Evaluering av effekt ulike i aktiviteter som krever dokumentasjon";"Ressursbesparelse ; Effektivisering av tidsbruk på dokumentasjon";"NA ; 0";"NA ; Integrasjon med EPJ";"Pål Gunnar Ulvenes <PalGunnar.Ulvenes@diakonsyk.no> ; Geir Ove Karlsson, geirok@sunnas.no";pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kognitiv avlastning ; Tidsbesparelse / effektivitet";Ikke realisert enda;Integrasjon og infrastruktur
Ward 24/7;HSØ;Human Bytes;i pilot/utprøving;klinisk;Pasientmonitorering, NEWS måling;ja;knyttet til MU;ML;SØHF;Kirurgi;kontinuerlig måling av vitalia, effektivisering av NEWS skåring;Økt effektivitet;Nei;Ingen;Jarl Schjerverud;pasientmonitorering;;Pasientbehandling;Tidsbesparelse / effektivitet;Ikke realisert enda;
bemanningsplanlegging;HSØ;Intern;i drift/produksjon;administrasjon - helsepersonell;Beslutningsstøtte bemanning, Prediksjon av pasientstrøm, akuttmottak;nei;frittstående;ML;SØHF;Medisin;Øke presisjon på bemanningsplan;Økt effektivitet;ja;Ingen;Jarl Schjerverud;bemanningsplanlegging;;Drift;Tidsbesparelse / effektivitet;Realisert;
suiteHEART;HN;NeoSoft;i drift/produksjon;klinisk;Suiteheart for MR;ja;;ML;NLSH;Bildediagnostikk;;Noe redusert tidsbruk for radiolog. Bedre kvalitet på undersøkelsen.;Redusert tidsbruk, bedre kvalitet på tjenesten, lik vurdering fra gang til gang.;Utfordringer med å implementere løsningen i dagens IKT arkitektur;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;Integrasjon og infrastruktur
